,year,average
0,2001,371.31916666666666
1,2002,373.45250000000004
2,2003,375.98333333333335
3,2004,377.6983333333333
4,2005,379.98333333333335
5,2006,382.09083333333336
6,2007,384.02500000000003
7,2008,385.83166666666665
8,2009,387.6425
9,2010,390.1016666666667
10,2011,391.85083333333336
11,2012,394.05583333333334
12,2013,396.7375
13,2014,398.8125
14,2015,401.0116666666667
15,2016,404.41249999999997
16,2017,406.7583333333334
17,2018,408.715
18,2019,411.6541666666667
19,2020,414.2383333333333
20,2021,416.4508333333333
21,2022,418.5641666666666
