,year,average
0,2001,316.3641666666667
1,2002,316.9425
2,2003,317.63166666666666
3,2004,318.2625
4,2005,318.92
5,2006,319.8233333333333
6,2007,320.4525
7,2008,321.50666666666666
8,2009,322.2816666666667
9,2010,323.1975
10,2011,324.21750000000003
11,2012,325.05916666666667
12,2013,325.9483333333333
13,2014,327.0941666666667
14,2015,328.1775
15,2016,328.9508333333333
16,2017,329.74583333333334
17,2018,330.91416666666663
18,2019,331.88666666666666
19,2020,333.0391666666667
20,2021,334.3225
21,2022,335.66249999999997
