,year,CO2,CH4,N2O,Temperature
0,2001,371.31916666666666,1771.2691666666667,316.3641666666667,0.54
1,2002,373.45250000000004,1772.7316666666666,316.9425,0.63
2,2003,375.98333333333335,1777.3341666666665,317.63166666666666,0.62
3,2004,377.6983333333333,1776.9958333333334,318.2625,0.53
4,2005,379.98333333333335,1774.18,318.92,0.68
5,2006,382.09083333333336,1774.97,319.8233333333333,0.64
6,2007,384.02500000000003,1781.4724999999999,320.4525,0.67
7,2008,385.83166666666665,1787.0874999999999,321.50666666666666,0.54
8,2009,387.6425,1793.5733333333335,322.2816666666667,0.66
9,2010,390.1016666666667,1798.9541666666667,323.1975,0.73
10,2011,391.85083333333336,1803.1608333333334,324.21750000000003,0.61
11,2012,394.05583333333334,1808.1050000000002,325.05916666666667,0.65
12,2013,396.7375,1813.4541666666667,325.9483333333333,0.68
13,2014,398.8125,1822.7408333333333,327.0941666666667,0.75
14,2015,401.0116666666667,1834.3625,328.1775,0.9
15,2016,404.41249999999997,1843.2141666666666,328.9508333333333,1.02
16,2017,406.7583333333334,1849.7266666666667,329.74583333333334,0.92
17,2018,408.715,1857.4216666666669,330.91416666666663,0.85
18,2019,411.6541666666667,1866.6666666666667,331.88666666666666,0.98
19,2020,414.2383333333333,1879.0966666666666,333.0391666666667,1.02
20,2021,416.4508333333333,1895.4241666666667,334.3225,0.85
21,2022,418.5641666666666,1911.9683333333332,335.66249999999997,0.9
